33,Lebanese Vow 'Revenge' against Ruling Elite at the Ballot Boxes,"... have opposed any compromise because they have lived in the area long 
before Israel occupied the West Bank in the 1967 Middle East war.",Asharq AL-awsat,6 hours ago,Lebanon
34,Ukraine Death Toll 'thousands Higher' Than Reported - U.N. ...,"Thousands more civilians have been killed in Ukraine during nearly 11 weeks 
of war there than the official U.N. death toll of 3,381,...",MTV Lebanon,6 mins ago,Lebanon
35,Lebanon serves as a reminder of Britain's vital role in helping ...,"Lebanon is a country beset by economic and political challenges, ... The 
war currently raging in Ukraine will continue to devastate lives...",Politics Home,4 days ago,Lebanon
36,Lebanon firefighters cut holes in roof to battle house fire,"LEBANON, Ore. – Lebanon firefighters put out a house fire late Wednesday 
morning at the corner of Denny School Road and Sandridge Road.",KEZI,4 days ago,Lebanon
37,M60: The Legendary Tank Built to Beat Russia During World ...,"Israel added explosive reactive armor for use in the Lebanon War of 1982. 
Even though the M1 Abrams was the modern main battle tank for...",19FortyFive,2 days ago,Lebanon
38,"Academia, Weapons and Occupation: How Tel Aviv University ...","Israel's wars are also fueled by weapons produced by the company. ... 
Following the Second Lebanon War, the institute promoted the...",BDS Movement |,5 days ago,Lebanon
39,The battle for IDF soldiers’ mental health,"He was a company commander in Nahal's 931 Battalion during the First 
Lebanon War. In one incident, IAF F-4 Phantom warplanes bombed the...",The Jerusalem Post,3 days ago,Lebanon
40,"How RAF hero helped to save 99 lives in Black September plane hijack 50 
years ago today","During the Second World War, Captain Levy, who passed away aged 88 ... in 
November 1983 in a prisoner exchange during the 1982 Lebanon War.",Daily Mail,1 day ago,Lebanon
41,Remembering Israel's fallen: Hero after hero,"The deadliest battle of that operation took place April 9, 2002, ... old 
when he was killed on August 1, 2006, in the Second Lebanon War.",The Jerusalem Post,6 days ago,Lebanon
42,UNRIC Library Backgrounder: Food Insecurity,"Global Impact of war in Ukraine on food, energy and finance systems ... WFP 
– Lebanon: War in Ukraine means price rises amid climate crisis...",UNRIC.org,6 days ago,Lebanon
43,"US, Italy united on Ukraine, with slightly different tones","“Maybe the message that Draghi will bring to Biden in these hours is: 'We 
are on the side of the Americans, but let's not make this a war of...",Lebanon-Express,20 hours ago,Lebanon
44,How the Conservative Party declared a cold war on Islam,"After the Second World War, the party could boast 2.8 million members, ... 
on Lebanon in 2006 as ""disproportionate"", arousing Israeli fury.",Middle East Eye,4 hours ago,Lebanon
45,Israel: Minister reveals long suppressed details of operative ...,"Sharabi fought in the first Lebanon war in 1982. He died two years later 
and was buried in the Israeli town of Ness Ziona.",Middle East Eye,1 week ago,Lebanon
46,Elad terrorists citing Al Aqsa as motivation for axe attack ...,"Since the May 2021 Gaza war, Israeli governments adopted the ... its 
soldiers and was caught unprepared for the Second Lebanon war in 2006.",Ynetnews,1 day ago,Lebanon
47,The Takeaway: Russia-Ukraine war spills over into Nile Dam ...,"Egypt 'particularly exposed' by Russia-Ukraine war: Egypt is ""particularly 
exposed"" ... Migrant boat tragedy adds to public anger in Lebanon.",Al-Monitor,5 days ago,Lebanon
48,Lebanon: War in Ukraine means price rises amid climate crisis ...,"The war in Ukraine is impacting fuel and food prices. Import-dependent 
Lebanon gets 80 percent of its wheat from Ukraine – which together...",WFP,1 month ago,Lebanon
49,Academics' selective obsession with Israel,"Her defensive War of Independence was one of survival. ... carved out of 
the remnants of the Ottoman Empire - Syria, Lebanon, Iraq, Jordan,...",Newsroom,18 hours ago,Lebanon
50,World Bank approves $150m food security loan for Lebanon,"The bread shortage has been exacerbated by the war in Ukraine, which 
supplies most of Lebanon's wheat. Short Url. https://arab.news/bdfjz.",Arab News,1 day ago,Lebanon
51,Hifter a no-show for deposition accusing him of war crimes,lebanon-express.com...,Lebanon-Express,14 hours ago,Lebanon
52,Lebanon faces food crisis with ‘no wheat orders since Ukraine war began’,"Wheat prices have soared since the start of the war in Ukraine, one of the 
world's largest producers. Lebanon normally buys 96 per cent of...",The National,1 month ago,Lebanon
53,Yom Hazikaron memorial,"... of the start of the First Lebanon War in which over 650 Israelis were 
killed, and recalled his own time serving in the IDF in Lebanon.",The Australian Jewish News,5 days ago,Lebanon
54,Kuwait's Crown Prince accepts government resignation,"BEIRUT: There was almost a 60 percent voter turnout for Lebanon's diaspora 
... Houthis have shown that collecting funds to finance war machine is 
their...",Arab News,2 hours ago,Lebanon
55,Timeline of NATO expansion since 1949 | National Politics ...,"2008: NATO countries welcome Ukraine and Georgia's aspirations to join the 
alliance, angering Russia. In August, Russia wins a short war with...",Lebanon-Express,5 hours ago,Lebanon
56,From the Second Lebanon War to Regional War,"EXECUTIVE SUMMARY: The Second Lebanon War was probably the last time Israel 
was going to be able to focus on fighting on a single front.",Begin-Sadat Center for Strategic Studies,29 Aug 2021,Lebanon
57,The Second Lebanon War,"The Next Lebanon War. It will start without warning. And the consequences 
are likely to be enormous. by. Matti Friedman.",Tablet Magazine,9 Sep 2021,Lebanon
58,Lebanese fearful as fuel and wheat shortage deepens,"But now, with fuel prices surging in Lebanon, and fears of wheat shortages 
as a result of Russia's war in Ukraine, the money she brings in...",Al Jazeera,8 Mar 2022,Lebanon
59,Global Coalition to Defeat ISIS to Hold 1st Ministerial Meeting in Marrakech,"“The Russian war will increase food and energy prices and the ... living in 
neighboring countries, particularly Turkey, Lebanon and Jordan.",Asharq AL-awsat,1 hour ago,Lebanon
60,Does Iran benefit if Russia moves units from Syria? - analysis,"""As of now, it is not clear whether, in light of the war in Ukraine, ... 
This is also how Iran does business in Lebanon, Iraq and Yemen.",The Jerusalem Post,22 hours ago,Lebanon
61,Lebanon seeks US aid to buy $20m wheat a month as Ukraine war hits supply,"Live updates: follow the latest news on Russia-Ukraine. The war in Ukraine 
has forced the Lebanese state to consider stepping in for the...",The National,2 Mar 2022,Lebanon
62,"Saudi Arabia, UAE summon Lebanon envoys over Yemen war criticism","Gulf states angered by Lebanese information minister's remarks about the 
Saudi-led war against Houthi rebels in Yemen. Lebanon's Information...",Al Jazeera,27 Oct 2021,Lebanon
63,Are Israel And Lebanon Heading For Another War?,"That 34-day military conflict raged along Lebanon, Northern Israel and the 
Golan Heights, with the principal parties being Hezbollah...",Breaking Defense,13 Aug 2021,Lebanon
64,Lebanon’s battle with the cable-snatchers to keep the internet alive,"Cable thefts were rare before the start of Lebanon's economic meltdown in 
2019, Wassim Bayda, Ogero's head of maintenance for north Lebanon,...",The National,11 Feb 2022,Lebanon
65,Is a Third Civil War Inevitable in Lebanon's Future?,"Lebanon has seen two civil wars in its history. This nation, consisting of 
many religious and tribal factions, is a testament to French and British...",AMU Edge,20 Oct 2021,Lebanon
66,Fighting in Lebanon: What is happening in Beirut?,"Hezbollah supporters then fired back, setting off an hours-long street 
battle that evoked memories of the country's civil war.",The Washington Post,15 Oct 2021,Lebanon
67,Gunfire and sectarian anger renew civil war fears in Lebanon,"Gunfire and sectarian anger renew civil war fears in Lebanon. Fears of 
civil conflict grow in Lebanon after the worst street violence in more...",Al Jazeera,22 Oct 2021,Lebanon
68,Hezbollah couldn't ask for a better enemy than Israel,"But as murmurs of a possible regional war grow louder, ... country's civil 
war in 1975 (Syria, which occupied most of Lebanon since 1976,...",+972 Magazine,18 Jan 2022,Lebanon
69,War in Ukraine pushes Middle East and North Africa deeper ...,"The cost of a basic food basket -- the minimum food needs per family per 
month -- registered an annual increase of 351 percent in Lebanon, the...",ReliefWeb,1 month ago,Lebanon
70,Lebanon's Hezbollah and Israel trade fire amid Iran tensions,"Third day of salvoes in longtime theatre of conflict · Projectiles hit open 
ground, suggesting no wish for war · Tensions simmering after attack...",Reuters,6 Aug 2021,Lebanon
71,"With 1st declared rocket attack in 15 years, Hezbollah risks war to test 
Israel","Following the Second Lebanon War, the threat that emerged on the Lebanese 
border was another full-scale war. This was what the IDF trained...",The Times of Israel,7 Aug 2021,Lebanon
72,Israel launches airstrikes on Lebanon in response to rockets,"The war failed to neutralize the group's rocket threat, and Israeli 
officials say the Iran-backed Hezbollah's improved missile arsenal is now...",AP News,5 Aug 2021,Lebanon
73,Lebanon's Crisis: Great Denial in the Deliberate Depression,"Beirut, January 25, 2022 – The scale and scope of Lebanon's deliberate ... 
of key pillars of Lebanon's post-civil war political economy.",World Bank Group,25 Jan 2022,Lebanon
74,Lebanon Divided By Ukraine-Russia War,"Lebanon's Foreign Ministry strongly condemns Russia's invasion of Ukraine, 
while Hezbollah blames the West. Russia's invasion of Ukraine is...",I24NEWS,6 Mar 2022,Lebanon
75,Saudi Arabia returns envoy to Lebanon after Yemen war spat ...,"In response to the remarks Riyadh recalled its ambassador and ordered 
Lebanon's envoy to leave the kingdom. Its Gulf allies the United Arab...",Al-Monitor,1 month ago,Lebanon
76,How war in Ukraine is affecting food supply in Africa and the Middle East,"Lebanon. When Lebanon's Muslims sat down to their first iftar of Ramadan 
tonight, the meal in front of them will have cost significantly more...",The Guardian,1 month ago,Lebanon
77,Israel arrested Palestinians for 'no reason': ex-agent,"Israeli forces would arrest Palestinians in Lebanon during the war between 
Tel Aviv and Beirut in the 1980s ""for no reason"", a former senior...",The New Arab,20 Feb 2022,Lebanon
78,Saudi Arabia recalls envoy to Lebanon over 'insulting' remarks on Yemen war,"... to Lebanon and giving Beirut's envoy 48 hours to leave Riyadh, after 
""insulting"" remarks made by a Lebanese minister on the Yemen war.",France 24,29 Oct 2021,Lebanon
79,"In Russia's invasion, echoes of Israel's debacle in Lebanon","The discretional war and the home front. The “Lebanese mud” scenario, as it 
was commonly described in Israel, is that of a huge military force...",+972 Magazine,1 month ago,Lebanon
80,Facing Up to Foreign Influence: How Outsiders Helped Create ...,"Of course, he might have asked why exactly French banks, among others, 
allowed Lebanon's elite to do so. During Lebanon's civil war — a conflict...",War on the Rocks,1 Dec 2021,Lebanon
81,America’s next crisis may be Lebanon — not Ukraine or Taiwan,"Could the New Year bring a Third Lebanon War, igniting the region and 
drawing America back to the Middle East? As Hal Brands, writing for...",The Hill,26 Dec 2021,Lebanon
